Credit Amount,Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
1049,1,1,18,4,2,1,2,4,2,1,4,2,21,3,1,1,3,1,1,1
2799,1,1,9,4,0,1,3,2,3,1,2,1,36,3,1,2,3,2,1,1
841,1,2,12,2,9,2,4,2,2,1,4,1,23,3,1,1,2,1,1,1
2122,1,1,12,4,0,1,3,3,3,1,2,1,39,3,1,2,2,2,1,2
2171,1,1,12,4,0,1,3,4,3,1,4,2,38,1,2,2,2,1,1,2
2241,1,1,10,4,0,1,2,1,3,1,3,1,48,3,1,2,2,2,1,2
3398,1,1,8,4,0,1,4,1,3,1,4,1,39,3,2,2,2,1,1,2
1361,1,1,6,4,0,1,2,2,3,1,4,1,40,3,2,1,2,2,1,2
1098,1,4,18,4,3,1,1,4,2,1,4,3,65,3,2,2,1,1,1,1
3758,1,2,24,2,3,3,1,1,2,1,4,4,23,3,1,1,1,1,1,1
3905,1,1,11,4,0,1,3,2,3,1,2,1,36,3,1,2,3,2,1,1
6187,1,1,30,4,1,2,4,1,4,1,4,3,24,3,1,2,3,1,1,1
1957,1,1,6,4,3,1,4,1,2,1,4,3,31,3,2,1,3,1,1,1
7582,1,2,48,3,10,2,1,2,3,1,4,4,31,3,2,1,4,1,2,1
1936,1,1,18,2,3,5,4,2,4,1,4,3,23,3,1,2,2,1,1,1
2647,1,1,6,2,3,3,3,2,3,1,3,1,44,3,1,1,3,2,1,1
3939,1,1,11,4,0,1,3,1,3,1,2,1,40,3,2,2,2,2,1,1
3213,1,2,18,2,3,3,2,1,4,1,3,1,25,3,1,1,3,1,1,1
2337,1,2,36,4,3,1,5,4,3,1,4,1,36,3,2,1,3,1,1,1
7228,1,4,11,4,0,1,3,1,3,1,4,2,39,3,2,2,2,1,1,1
3676,1,1,6,4,0,1,3,1,3,1,3,1,37,3,1,3,3,2,1,1
3124,1,2,12,4,0,1,2,1,3,1,3,1,49,1,2,2,2,2,1,1
2384,0,2,36,2,5,1,2,4,3,1,1,4,33,3,1,1,2,1,1,1
